sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock
5CC6044,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Natural Curling Ribbon,Ribbon 3/8 x 100 yds Copen,"<font color=#000000 size=2 face=""Verdana, Helvetica"">Solid Natural Curling Ribbon. Really a great selection of solid colors, all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch. This ribbon is available in stock colors.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are indicated below.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font size=2><font color=#000000>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></font></span></font></font></font>",Solid Natural Curling Ribbon,0.552,1,Taxable Goods,"Catalog, Search",87,,,,ribbon-38-x-100-yds-copen-5CC6044,Solid Natural Curling Ribbon - Retail Store Gift Wrapping Supplies,solid natural curling ribbon gift  wrapping bulk ribbon retail supplies packaging custom,"Curling Ribbon and gift wrap supplies including solid natural curling ribbon for sale online, order gift wrap and tissue for all of your retail store needs.",/5CC6044_base.jpg,Ribbon 3/8 x 100 yds Copen base image,/5CC6044_base.jpg,Ribbon 3/8 x 100 yds Copen small image,/5CC6044_base.jpg,Ribbon 3/8 x 100 yds Copen thumbnail,,,,,,,,1,0,1,base,0,0
5CC6046,,Default,simple,Default Category/Boxes & Packaging/Place Holder,Ribbon 3/8x100 yds Dk. Blue w/,"<font color=#000000 size=2 face=""Verdana, Helvetica"">Solid Natural Curling Ribbon. Really a great selection of solid colors, all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch. This ribbon is available in stock colors.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are indicated below.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font size=2><font color=#000000>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></font></span></font></font></font>",Solid Natural Curling Ribbon,0.552,1,Taxable Goods,"Catalog, Search",87,,,,ribbon-38x100-yds-dk.-blue-w-5CC6046,Solid Natural Curling Ribbon - Retail Store Gift Wrapping Supplies,solid natural curling ribbon gift  wrapping bulk ribbon retail supplies packaging custom,"Curling Ribbon and gift wrap supplies including solid natural curling ribbon for sale online, order gift wrap and tissue for all of your retail store needs.",/5CC6046_base.jpg,Ribbon 3/8x100 yds Dk. Blue w/ base image,/5CC6046_base.jpg,Ribbon 3/8x100 yds Dk. Blue w/ small image,/5CC6046_base.jpg,Ribbon 3/8x100 yds Dk. Blue w/ thumbnail,,,,,,,,1,0,1,base,0,0
5CC7000,,Default,simple,Default Category/Boxes & Packaging/Place Holder,Ribbon 1/2x100 yds Gold on,"<font color=#000000 size=2 face=""Verdana, Helvetica"">Hot Dots Natural Curling Ribbon<strong>.</strong> Great, fun look and are all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are 1/2"" x 100&nbsp;yards.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font color=#000000 size=2>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></span></font></font></font>",Hot Dots Natural Curling Ribbon,0.555,1,Taxable Goods,"Catalog, Search",138.65,,,,ribbon-12x100-yds-gold-on-5CC7000,"Curling Ribbon, Hot Dots Natural Curling Ribbon, Retail Ribbons & Bows",curling ribbon natural curling ribbon retail ribbons bows,"Curling ribbon for sale online, buy natural curling ribbon, bows and gift packaging supplies for your retail store at AmericanRetailSupply.com.",/5CC7000_base.jpg,Ribbon 1/2x100 yds Gold on base image,/5CC7000_base.jpg,Ribbon 1/2x100 yds Gold on small image,/5CC7000_base.jpg,Ribbon 1/2x100 yds Gold on thumbnail,,,,,,,,1,0,1,base,0,0
5CC7002,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Natural Curling Ribbon,Ribbon 1/2x100 yds Silver on,"<font color=#000000 size=2 face=""Verdana, Helvetica"">Hot Dots Natural Curling Ribbon<strong>.</strong> Great, fun look and are all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are 1/2"" x 100&nbsp;yards.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font color=#000000 size=2>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></span></font></font></font>",Hot Dots Natural Curling Ribbon,0.555,1,Taxable Goods,"Catalog, Search",138.65,,,,ribbon-12x100-yds-silver-on-5CC7002,"Curling Ribbon, Hot Dots Natural Curling Ribbon, Retail Ribbons & Bows",curling ribbon natural curling ribbon retail ribbons bows,"Curling ribbon for sale online, buy natural curling ribbon, bows and gift packaging supplies for your retail store at AmericanRetailSupply.com.",/5CC7002_base.jpg,Ribbon 1/2x100 yds Silver on base image,/5CC7002_base.jpg,Ribbon 1/2x100 yds Silver on small image,/5CC7002_base.jpg,Ribbon 1/2x100 yds Silver on thumbnail,,,,,,,,1,0,1,base,0,0
5CC7004,,Default,simple,Default Category/Boxes & Packaging/Place Holder,Ribbon 1/2 x100 yds Copper on,"<font color=#000000 size=2 face=""Verdana, Helvetica"">Hot Dots Natural Curling Ribbon<strong>.</strong> Great, fun look and are all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are 1/2"" x 100&nbsp;yards.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font color=#000000 size=2>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></span></font></font></font>",Hot Dots Natural Curling Ribbon,0.555,1,Taxable Goods,"Catalog, Search",138.65,,,,ribbon-12-x100-yds-copper-on-5CC7004,"Curling Ribbon, Hot Dots Natural Curling Ribbon, Retail Ribbons & Bows",curling ribbon natural curling ribbon retail ribbons bows,"Curling ribbon for sale online, buy natural curling ribbon, bows and gift packaging supplies for your retail store at AmericanRetailSupply.com.",/5CC7004_base.jpg,Ribbon 1/2 x100 yds Copper on base image,/5CC7004_base.jpg,Ribbon 1/2 x100 yds Copper on small image,/5CC7004_base.jpg,Ribbon 1/2 x100 yds Copper on thumbnail,,,,,,,,1,0,1,base,0,0
5CC7005,,Default,simple,Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Natural Curling Ribbon,Ribbon 1/2x100 yds Aqua/Dk,"<font color=#000000 size=2 face=""Verdana, Helvetica"">Hot Dots Natural Curling Ribbon<strong>.</strong> Great, fun look and are all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are 1/2"" x 100&nbsp;yards.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font color=#000000 size=2>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></span></font></font></font>",Hot Dots Natural Curling Ribbon,0.555,1,Taxable Goods,"Catalog, Search",121.35,,,,ribbon-12x100-yds-aquadk-5CC7005,"Curling Ribbon, Hot Dots Natural Curling Ribbon, Retail Ribbons & Bows",curling ribbon natural curling ribbon retail ribbons bows,"Curling ribbon for sale online, buy natural curling ribbon, bows and gift packaging supplies for your retail store at AmericanRetailSupply.com.",/5CC7005_base.jpg,Ribbon 1/2x100 yds Aqua/Dk base image,/5CC7005_base.jpg,Ribbon 1/2x100 yds Aqua/Dk small image,/5CC7005_base.jpg,Ribbon 1/2x100 yds Aqua/Dk thumbnail,,,,,,,,1,0,1,base,0,0
5CC7006,,Default,simple,Default Category/Boxes & Packaging/Place Holder,Ribbon 1/2 x 100 yds,"<font color=#000000 size=2 face=""Verdana, Helvetica"">Hot Dots Natural Curling Ribbon<strong>.</strong> Great, fun look and are all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are 1/2"" x 100&nbsp;yards.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font color=#000000 size=2>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></span></font></font></font>",Hot Dots Natural Curling Ribbon,0.555,1,Taxable Goods,"Catalog, Search",121.35,,,,ribbon-12-x-100-yds-5CC7006,"Curling Ribbon, Hot Dots Natural Curling Ribbon, Retail Ribbons & Bows",curling ribbon natural curling ribbon retail ribbons bows,"Curling ribbon for sale online, buy natural curling ribbon, bows and gift packaging supplies for your retail store at AmericanRetailSupply.com.",/5CC7006_base.jpg,Ribbon 1/2 x 100 yds base image,/5CC7006_base.jpg,Ribbon 1/2 x 100 yds small image,/5CC7006_base.jpg,Ribbon 1/2 x 100 yds thumbnail,,,,,,,,1,0,1,base,0,0
5CC7007,,Default,simple,Default Category/Boxes & Packaging/Place Holder,Ribbon 1/2 x 100 yds,"<font color=#000000 size=2 face=""Verdana, Helvetica"">Hot Dots Natural Curling Ribbon<strong>.</strong> Great, fun look and are all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are 1/2"" x 100&nbsp;yards.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font color=#000000 size=2>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></span></font></font></font>",Hot Dots Natural Curling Ribbon,0.555,1,Taxable Goods,"Catalog, Search",121.35,,,,ribbon-12-x-100-yds-5CC7007,"Curling Ribbon, Hot Dots Natural Curling Ribbon, Retail Ribbons & Bows",curling ribbon natural curling ribbon retail ribbons bows,"Curling ribbon for sale online, buy natural curling ribbon, bows and gift packaging supplies for your retail store at AmericanRetailSupply.com.",/5CC7007_base.jpg,Ribbon 1/2 x 100 yds base image,/5CC7007_base.jpg,Ribbon 1/2 x 100 yds small image,/5CC7007_base.jpg,Ribbon 1/2 x 100 yds thumbnail,,,,,,,,1,0,1,base,0,0
5CC7008,,Default,simple,Default Category/Boxes & Packaging/Place Holder,Ribbon 1/2 x 100 yds,"<font color=#000000 size=2 face=""Verdana, Helvetica"">Hot Dots Natural Curling Ribbon<strong>.</strong> Great, fun look and are all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are 1/2"" x 100&nbsp;yards.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font color=#000000 size=2>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></span></font></font></font>",Hot Dots Natural Curling Ribbon,0.555,1,Taxable Goods,"Catalog, Search",121.35,,,,ribbon-12-x-100-yds-5CC7008,"Curling Ribbon, Hot Dots Natural Curling Ribbon, Retail Ribbons & Bows",curling ribbon natural curling ribbon retail ribbons bows,"Curling ribbon for sale online, buy natural curling ribbon, bows and gift packaging supplies for your retail store at AmericanRetailSupply.com.",/5CC7008_base.jpg,Ribbon 1/2 x 100 yds base image,/5CC7008_base.jpg,Ribbon 1/2 x 100 yds small image,/5CC7008_base.jpg,Ribbon 1/2 x 100 yds thumbnail,,,,,,,,1,0,1,base,0,0
5CC7009,,Default,simple,Default Category/Boxes & Packaging/Place Holder,Ribbon 1/2 x 100 yds,"<font color=#000000 size=2 face=""Verdana, Helvetica"">Hot Dots Natural Curling Ribbon<strong>.</strong> Great, fun look and are all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are 1/2"" x 100&nbsp;yards.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font color=#000000 size=2>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></span></font></font></font>",Hot Dots Natural Curling Ribbon,0.555,1,Taxable Goods,"Catalog, Search",121.35,,,,ribbon-12-x-100-yds-5CC7009,"Curling Ribbon, Hot Dots Natural Curling Ribbon, Retail Ribbons & Bows",curling ribbon natural curling ribbon retail ribbons bows,"Curling ribbon for sale online, buy natural curling ribbon, bows and gift packaging supplies for your retail store at AmericanRetailSupply.com.",/5CC7009_base.jpg,Ribbon 1/2 x 100 yds base image,/5CC7009_base.jpg,Ribbon 1/2 x 100 yds small image,/5CC7009_base.jpg,Ribbon 1/2 x 100 yds thumbnail,,,,,,,,1,0,1,base,0,0
